name,price_old,price_netto,price_new
Kawa ziarnista Roastains Rwanda Rocking Chair FILTR 250g,"58,00 zł","33,01 zł +23% VAT","40,60 zł"
Kawa ziarnista Roastains Kolumbia Neon Bird FILTR 250g,"58,00 zł","33,01 zł +23% VAT","40,60 zł"
Kawa ziarnista Story Colombia Bourbon Aji 125g,"81,00 zł","49,39 zł +23% VAT","60,75 zł"
ZESTAW - Kawa ziarnista Tchibo Barista Caffé Crema 3x1kg + Eduscho Caffe Crema 10x100g,N/A,"211,03 zł +23% VAT","259,57 zł"
Kawa ziarnista Instytut Kawy Kuba Sierra Maestra 1kg,"129,00 zł","78,66 zł +23% VAT","96,75 zł"
Kawa ziarnista Instytut Kawy Torino 250g,"38,00 zł","23,17 zł +23% VAT","28,50 zł"
Kawa ziarnista Instytut Kawy Brazylia Cemorrado 1kg,"129,00 zł","78,66 zł +23% VAT","96,75 zł"
Kawa ziarnista Instytut Kawy Brazylia Cemorrado 250g,"38,00 zł","23,17 zł +23% VAT","28,50 zł"
Kawa ziarnista Belmio Delicato Blend 1kg,N/A,"69,10 zł +23% VAT","84,99 zł"
Kawa mielona Dallmayr Classic 500g,N/A,"24,38 zł +23% VAT","29,99 zł"
Kawa mielona Dallmayr Prodomo 500g,N/A,"26,82 zł +23% VAT","32,99 zł"
Kawa mielona Bristot Wellcaffe 200g,"24,99 zł","16,25 zł +23% VAT","19,99 zł"
Kawa w saszetkach Caffe del Faro Espresso Italiano - saszetki ESE 18szt,"30,99 zł","21,41 zł +23% VAT","26,34 zł"
Kawa w saszetkach Caffe del Faro Gold Extra Bar - saszetki ESE 18szt,"27,00 zł","18,66 zł +23% VAT","22,95 zł"
Kawa w saszetkach Caffe del Faro Suprema 100% Arabica - saszetki ESE 18szt,"34,99 zł","24,18 zł +23% VAT","29,74 zł"
Kawa ziarnista Caffe Grano Zimowy Przelew 250g,"39,99 zł","27,63 zł +23% VAT","33,99 zł"
Kawa ziarnista LaCava Ethiopia Koke Filtr 1kg,"269,00 zł","153,09 zł +23% VAT","188,30 zł"
Kawa ziarnista LaCava Ecstasy Espresso Blend 1kg,"189,00 zł","107,56 zł +23% VAT","132,30 zł"
Kawa ziarnista LaCava Ecstasy Espresso Blend 350g,"79,00 zł","44,96 zł +23% VAT","55,30 zł"
Kawa ziarnista LaCava Decaf Paradox Bezkofeinowa 1kg,"159,00 zł","90,49 zł +23% VAT","111,30 zł"
Kawa ziarnista LaCava Decaf Paradox Bezkofeinowa 350g,"59,00 zł","33,58 zł +23% VAT","41,30 zł"
Kawa mielona Lavazza Crema e Gusto 250g,"18,99 zł","13,12 zł +23% VAT","16,14 zł"
